P580/P582/P69_h/P69_t/P812	+1992-00-00T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727	+1993-00-00T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727	Q1004037	Q13371	Q36442
P512/P582/P69_h/P69_t/P812	Q308678	+1868-00-00T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727	Q100532	Q20266330	Q1669589
P512_h/P512_t/P585/P69/P812	Q1005479	Q3033550	+1972-00-00T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727	Q1144549	Q33521
P512/P582/P69_h/P69_t/P812	Q1765120	+1962-00-00T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727	Q101547	Q1161297	Q8134
P2868/P463_h/P463_t/P580/P582	Q18913513	Q101683	Q833738	+1969-00-00T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727	+1971-00-00T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727
P512/P582/P69_h/P69_t/P812	Q752297	+1952-00-00T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727	Q101740	Q209842	Q395
P101/P512_h/P512_t/P585/P69	Q395	Q101740	Q849697	+1952-00-00T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727	Q209842
P413/P54_h/P54_t/P580/P582	Q336286	Q102027	Q676899	+1997-00-00T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727	+2010-00-00T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727
P413/P54_h/P54_t/P580/P582	Q336286	Q102027	Q1422	+2004-00-00T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727	+2006-00-00T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727
P413/P54_h/P54_t/P580/P582	Q336286	Q102027	Q8682	+2006-00-00T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727	+2009-00-00T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727
P413/P54_h/P54_t/P580/P582	Q336286	Q102027	Q1422	+2009-00-00T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727	+2010-00-00T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727
P413/P54_h/P54_t/P580/P582	Q336286	Q102027	Q424943	+2010-00-00T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727	+2011-00-00T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727
P512/P582/P69_h/P69_t/P812	Q752297	+1952-00-00T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727	Q102379	Q1047060	Q7094
P512/P582/P69_h/P69_t/P812	Q787674	+1948-00-00T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727	Q102379	Q739627	Q7094
P512/P582/P69_h/P69_t/P812	Q1765120	+1935-00-00T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727	Q102454	Q131252	Q8134
P39_h/P39_t/P580/P582/P642	Q10287	Q382617	+2001-03-18T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	+2012-05-24T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	Q192393
P39_h/P39_t/P580/P582/P642	Q10287	Q16886136	+1986-03-21T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	+2002-06-20T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	Q13917
P166_h/P166_t/P1686/P585/P805	Q103343	Q106301	Q164103	+2002-01-01T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727	Q753167
P1411_h/P1411_t/P1686/P585/P805	Q103646	Q103360	Q164103	+2001-00-00T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727	Q753167
P1411_h/P1411_t/P1686/P585/P805	Q103646	Q102427	Q164103	+2001-00-00T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727	Q753167
P512/P69_h/P69_t/P812/P812	Q787674	Q103784	Q180865	Q11023	Q21010853
P1642/P54_h/P54_t/P580/P582	Q2914547	Q10379390	Q18512	+2005-01-01T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727	+2006-01-01T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727
P1642/P54_h/P54_t/P580/P582	Q2914547	Q10380977	Q634829	+1992-01-01T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727	+1993-01-01T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727
P1642/P54_h/P54_t/P580/P582	Q2914547	Q10381249	Q18520	+2011-01-01T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727	+2011-01-01T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727
P1642/P54_h/P54_t/P580/P582	Q2914547	Q10381249	Q48945	+2005-01-01T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727	+2006-01-01T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727
