0	m.05wy2
1	"173.0"
2	"2.4"
3	"168.0"
4	"138.0"
5	"1.8"
6	"125.0"
7	m.0l0xy
8	"188.0"
9	"3.0"
10	"325.0"
11	"255.0"
12	"5.4"
13	"350.0"
14	m.05vf_2
15	"288.0"
16	"3.6"
17	"270.0"
18	"261.0"
19	"4.0"
20	"281.0"
21	"162.0"
22	"390.0"
23	"5.0"
24	"369.0"
25	"3.5"
26	"258.0"
27	"271.0"
28	"254.0"
29	"248.0"
30	"166.0"
31	"187.0"
32	"2.7"
33	"186.0"
34	"268.0"
35	"3.7"
36	"267.0"
37	"240.0"
38	"221.0"
39	"280.0"
40	"265.0"
41	"283.0"
42	"260.0"
43	"175.0"
44	"2.5"
45	"172.0"
46	"332.0"
47	"310.0"
48	"290.0"
49	"365.0"
50	"420.0"
51	"185.0"
52	"170.0"
53	"335.0"
54	"200.0"
55	"180.0"
56	"2.3"
57	"158.0"
58	"316.0"
59	"6.2"
60	"397.0"
61	"266.0"
62	"385.0"
63	"380.0"
64	"169.0"
65	"160.0"
66	"157.0"
67	"179.0"
68	"2.0"
69	"146.0"
70	"295.0"
71	"403.0"
72	"417.0"
73	"315.0"
74	"5.3"
75	"98.0"
76	"1.3"
77	"123.0"
78	"220.0"
79	"600.0"
80	"6.0"
81	"553.0"
82	"430.0"
83	"4.2"
84	"171.0"
85	"330.0"
86	"276.0"
87	"167.0"
88	"182.0"
89	m.02lts
90	"190.0"
91	"236.0"
92	"360.0"
93	"303.0"
94	"264.0"
95	"250.0"
96	"429.0"
97	"376.0"
98	"177.0"
99	"8.0"
100	"1.6"
101	"272.0"
102	"269.0"
103	"122.0"
104	"1.5"
105	"128.0"
106	"381.0"
107	"5.7"
108	"401.0"
109	"253.0"
110	"140.0"
111	"163.0"
112	"308.0"
113	"305.0"
114	"246.0"
115	"165.0"
116	"223.0"
117	"3.2"
118	"243.0"
119	"300.0"
120	"225.0"
121	"4.6"
122	"286.0"
123	"516.0"
124	"251.0"
125	"273.0"
126	"262.0"
127	"127.0"
128	"302.0"
129	"4.8"
130	"500.0"
131	"320.0"
132	"334.0"
133	"333.0"
134	"230.0"
135	"567.0"
136	"550.0"
137	"210.0"
138	"278.0"
139	"136.0"
140	"375.0"
141	"361.0"
142	"425.0"
143	"4.7"
144	"405.0"
145	"263.0"
146	"470.0"
147	"424.0"
148	"400.0"
149	"455.0"
150	"4.4"
151	"515.0"
152	"382.0"
153	"5.5"
154	"391.0"
155	"552.0"
156	"5.2"
157	"398.0"
158	"621.0"
159	"590.0"
160	"292.0"
161	"3.8"
162	"291.0"
163	"110.0"
164	"148.0"
165	"145.0"
166	"328.0"
167	"324.0"
168	"373.0"
169	"242.0"
170	"161.0"
171	"543.0"
172	"306.0"
173	"510.0"
174	"525.0"
175	"479.0"
