P413/P413/P413/P413/P54_h/P54_t/P580/P582	Q1368195	Q1143358	Q1368170	Q1326154	Q1046185	Q329816	+2000-07-19T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	+2012-12-09T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727
P101/P101/P101/P101/P276/P512_h/P512_t/P585	Q397	Q35497	Q1066186	Q166153	Q64	Q1309598	Q1756416	+1893-00-00T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727
P580/P582/P794/P794/P794/P794/P937_h/P937_t	+1836-00-00T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727	+1838-00-00T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727	Q175151	Q2516866	Q998550	Q1413170	Q13129369	Q752762
P1534/P2715/P39_h/P39_t/P4100/P580/P582/P768	Q741182	Q2076187	Q192556	Q37303721	Q841045	+2003-11-26T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	+2007-01-30T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	Q7898475
P1534/P2715/P39_h/P39_t/P4100/P580/P582/P768	Q741182	Q2076208	Q192556	Q37303731	Q841045	+1998-06-25T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	+2003-04-28T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	Q7898475
P1534/P2715/P39_h/P39_t/P4100/P580/P582/P768	Q796919	Q2076208	Q193630	Q37303731	Q175443	+1998-06-25T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	+2000-12-01T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	Q5477379
P39_h/P39_t/P580/P582/P642/P642/P642/P768	Q252657	Q18915989	+1950-00-00T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727	+1956-00-00T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727	Q782419	Q3563354	Q1371314	Q26215021
P1534/P2715/P39_h/P39_t/P4100/P580/P582/P768	Q741182	Q2562399	Q296597	Q37303713	Q215519	+2007-03-09T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	+2011-03-24T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	Q7053953
P1534/P2715/P39_h/P39_t/P4100/P580/P582/P768	Q741182	Q2076187	Q296597	Q37303721	Q215519	+2003-11-26T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	+2007-01-30T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	Q7053953
P1534/P2715/P39_h/P39_t/P4100/P580/P582/P768	Q741182	Q2076208	Q296597	Q37303731	Q215519	+1998-06-25T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	+2003-04-28T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	Q7053953
P1534/P2715/P39_h/P39_t/P4100/P580/P582/P768	Q741182	Q2076187	Q300243	Q37303721	Q215519	+2003-11-26T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	+2007-01-30T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	Q4882308
P1534/P2715/P39_h/P39_t/P4100/P580/P582/P768	Q741182	Q2076208	Q300243	Q37303731	Q215519	+1998-06-25T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	+2003-04-28T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	Q4882308
P39_h/P39_t/P580/P582/P642/P768/P768/P768	Q312013	Q18915989	+1977-00-00T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727	+2004-00-00T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727	Q223153	Q12876839	Q7783466	Q4813465
P1534/P2715/P39_h/P39_t/P4100/P580/P582/P768	Q741182	Q7058474	Q333036	Q37279086	Q215519	+2011-05-06T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	+2016-03-24T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	Q4882274
